,,MESURES DE CENTRALITÉ,,,,,,,,,,,,
Bhore,J. W.,3,327,11,894,11,923,0.39,2077,295.9,362,0.017,1685,
Bishop,William Warner,3,328,45,231,58,222,0.454,487,343.5,340,0.099,240,
Boyer,Maurice,3,329,3,2038,5,1400,0.371,2279,175.8,426,0.006,2307,
Bremond,E.,3,330,40,297,43,309,0.469,274,232.8,405,0.116,196,
Bucys,P.,3,331,50,205,55,236,0.472,237,0,966,0.12,178,
Bustamante,Antonio Sanchez de,3,332,45,234,52,245,0.477,182,1778.5,158,0.121,176,
Cantacuzene,J. C.,3,333,63,166,63,203,0.48,157,17825.6,33,0.115,198,
Castro e Almeida,Virginia de,3,334,79,94,83,130,0.463,345,1270,191,0.181,75,
Charoon,,3,335,17,697,18,721,0.435,689,35.7,562,0.039,1290,
Chatterjee,Atul C.,3,336,39,333,57,228,0.482,143,119.7,463,0.114,200,
Clouzot,Etienne,3,337,12,859,13,862,0.462,361,1.7,672,0.036,1308,
Cooper,W.R.,3,338,39,334,47,276,0.473,221,70.2,502,0.101,233,
Coste,E.,3,339,28,436,31,436,0.465,312,667.8,255,0.085,305,
Dempsey,Vaughan B.,3,340,111,55,126,77,0.476,190,890.6,230,0.229,44,
Doret,Frederic,3,341,42,257,47,277,0.453,496,247.4,395,0.1,238,
Dorsey,H.W.,3,342,26,494,28,480,0.423,868,579,270,0.036,1310,
Douglas,H. P.,3,343,2,2219,2,2232,0.371,2282,0,1194,0.007,2251,
Drummond Drummond Fraser,,3,344,8,1050,10,981,0.411,1612,0,1201,0.025,1481,
Duca,J.,3,345,41,275,57,229,0.476,191,18.9,599,0.111,206,
Dunant,,3,346,87,77,95,111,0.475,204,1112.6,208,0.189,69,
Dyke,Paul Van,3,347,25,508,29,467,0.439,664,155.7,443,0.062,443,
Eastman,S. Mack,3,348,79,96,88,121,0.479,163,1119,207,0.165,98,
Edwards,Mona R. J.,3,349,5,1468,6,1267,0.42,928,0,1228,0.023,1523,
Eisler,R.,3,350,17,699,23,587,0.472,239,49,527,0.073,363,
Ferrier,J. P.,3,351,22,552,25,567,0.435,690,353.2,337,0.041,891,
Fitz-James Stuart,Jacobo,3,352,40,305,54,241,0.461,371,20.2,598,0.069,400,
Fulcher,Gordon S.,3,353,20,622,22,604,0.462,362,25.7,578,0.062,445,
Gorvin,John,3,354,6,1255,6,1274,0.419,951,3011,113,0.016,1734,
Grant,Donald,3,355,13,831,16,774,0.422,876,48.3,528,0.024,1504,
Guiffrey,,3,356,43,253,58,224,0.466,303,71,499,0.099,243,
Gwiazdowski,Thadee,3,357,9,1001,11,930,0.457,439,81,492,0.031,1381,
Hammarskjeld,Knut Hjalmar Leonard,3,358,17,702,19,696,0.464,325,716.1,245,0.063,426,
Harms,,3,359,27,464,35,405,0.469,277,189.4,415,0.066,411,
Hely-Hutchinson,R.,3,360,17,704,20,678,0.419,954,6746.4,65,0.048,583,
Hendrickx,Robert,3,361,15,774,19,697,0.452,501,169.4,438,0.062,446,
Hertzog,James Barry Munnik,3,362,2,2258,3,2099,0.37,2306,0,1551,0.005,2434,
Hill,Claude H.,3,363,14,809,15,811,0.466,304,108,470,0.043,677,
Hoden,Marcel,3,364,6,1264,6,1282,0.434,712,0,1569,0.046,602,
Horvath,E.,3,365,22,554,25,570,0.441,637,249.8,390,0.056,501,
Imhof,Gottl.,3,366,51,202,56,234,0.472,241,648.9,257,0.092,278,
Ingermann Lindencrone,,3,367,29,421,30,460,0.457,441,1019.6,218,0.044,650,
Ittersun,Van,3,368,20,627,27,515,0.473,224,266.5,378,0.054,524,
Jacklin,Seymour,3,369,12,870,13,870,0.411,1615,4082.3,96,0.019,1620,
Jacobson,,3,370,98,65,102,100,0.481,152,2276.6,137,0.195,63,
Kenyon,Frederic G.,3,371,46,230,49,267,0.488,104,1163.5,203,0.104,222,
Kerkhof,,3,372,36,351,47,279,0.452,503,385.9,323,0.081,320,
Koht,Halvdan,3,373,83,87,86,124,0.489,98,2828.2,119,0.19,68,
Kolessa,Alexandre,3,374,60,173,64,201,0.466,306,1711.8,163,0.133,159,
Kollarits,J. ,3,375,18,679,21,645,0.418,988,121.9,458,0.047,593,
Krans,Horatio S.,3,376,20,630,22,607,0.463,351,128.2,456,0.06,462,
Kreuz,Rob.,3,377,6,1276,6,1295,0.399,1856,86,487,0.018,1652,
Laer,H. Van,3,378,5,1634,8,1103,0.451,511,12.5,611,0.026,1467,
Leclerc,,3,379,86,78,95,112,0.463,353,219.5,406,0.185,71,
Lugard,F.D.,3,380,15,784,16,781,0.41,1631,245.9,396,0.023,1527,
MacWhite,M.,3,381,7,1175,8,1106,0.457,444,238.7,403,0.027,1458,
Madariaga,S. de,3,382,16,738,22,609,0.448,550,46.1,533,0.048,584,
Marsault,Antoinette,3,383,12,874,17,747,0.474,214,195.9,413,0.043,680,
Matsch,Franz,3,384,41,281,41,338,0.433,735,518.3,284,0.075,350,
Mikoff,,3,385,56,186,60,216,0.473,225,141.1,449,0.127,170,
Monnet,Jean,3,386,7,1187,7,1214,0.398,1920,894.8,229,0.016,1740,
Morales,A.,3,387,4,1979,5,1711,0.372,2278,9,620,0.007,2276,
Morize,,3,388,15,788,19,706,0.391,2075,279.1,370,0.018,1662,
Myers,Denys P.,3,389,49,216,51,253,0.464,333,494,293,0.104,223,
Pardo Correa,Arturo,3,390,24,526,39,387,0.43,766,104.6,477,0.053,535,
Paton,H.I. ,3,391,15,791,27,526,0.454,490,0.1,695,0.056,505,
Patrick,P. J.,3,392,9,1016,9,1053,0.429,789,316.2,354,0.025,1485,
Pellet,A.,3,393,73,117,78,147,0.449,538,2212.6,143,0.119,187,
Pelseneer,Paul,3,394,23,539,26,555,0.473,230,35.9,561,0.101,235,
Phelan,Edward J.,3,395,19,660,23,593,0.476,195,647,258,0.053,536,
Pietromarchi,Luca,3,396,17,712,19,713,0.47,267,142.5,447,0.046,605,
Pirenne,Henri,3,397,29,426,33,420,0.474,217,1163.8,202,0.083,313,
Podoski,Joseph,3,398,13,840,14,848,0.457,452,1186.2,201,0.061,455,
Politis,,3,399,13,842,13,878,0.464,334,92.1,483,0.065,419,
Pope,Joseph,3,400,11,921,12,907,0.394,1977,12,613,0.014,1821,
Pringle,George C.,3,401,7,1197,8,1118,0.398,1922,30.7,570,0.019,1624,
Richardson,Hugh,3,402,7,1200,8,1120,0.445,596,2.1,667,0.05,568,
Richardson,Ernest C.,3,403,17,713,21,660,0.471,259,179.9,422,0.047,595,
Rottner,,3,404,2,2330,3,2151,0.382,2134,0,2403,0.009,2167,
Rowe,L. S.,3,405,16,751,17,752,0.469,281,1097.2,210,0.067,409,
Ruyssen,Th.,3,406,18,688,19,715,0.476,197,1543.2,172,0.072,369,
Rybicki,Stanislas,3,407,6,1313,8,1124,0.362,2374,2.9,656,0.007,2284,
Sagnier,Henry,3,408,8,1092,8,1126,0.4,1796,59.8,516,0.017,1715,
Sarasin,Paul,3,409,22,564,26,559,0.397,1932,107.4,472,0.018,1673,
Sebert,,3,410,49,218,52,249,0.446,592,1199.5,200,0.062,449,
Serruys,,3,411,29,428,33,422,0.455,483,111.6,469,0.063,434,
Sharpe,S. Maud,3,412,2,2342,2,2347,0.392,2056,0,2510,0.011,1966,
Silberstein,Zoya,3,413,40,325,45,302,0.465,319,789.3,237,0.093,272,
Souza-Dantas,,3,414,113,54,130,74,0.506,45,2690.3,123,0.241,40,
Sperl,Hans,3,415,5,1844,7,1234,0.377,2171,0,2556,0.009,2176,
Spiller,N.,3,416,12,882,15,823,0.422,881,324,350,0.021,1575,
Stein,L. S.,3,417,2,2347,2,2352,0.418,999,0,2570,0.014,1830,
Steinig,Leon,3,418,10,975,12,912,0.456,476,263.3,381,0.031,1396,
Stencek,V. J.,3,419,31,398,34,414,0.481,153,472.2,301,0.085,308,
Stoiloff,Nicholas D.,3,420,110,58,120,83,0.468,291,1810.8,157,0.203,58,
Susta,Joseph,3,421,32,380,34,415,0.433,743,274.6,373,0.036,1321,
Tang Tsai Fou,,3,422,8,1106,11,964,0.409,1643,0,2614,0.021,1576,
Thirring,Hans,3,423,31,400,43,314,0.471,261,60.9,514,0.089,291,
Thurler,Adele,3,424,19,662,21,664,0.465,320,1086.8,211,0.042,739,
Tigerstedt,,3,425,58,180,59,221,0.484,133,1010.1,221,0.132,163,
Tille,V.,3,426,11,936,12,915,0.401,1773,118.1,464,0.023,1540,
Toynbee,Arnold,3,427,41,289,52,250,0.479,173,140.1,451,0.132,164,
Tufton,Charles,3,428,19,663,22,616,0.417,1011,24.5,581,0.042,740,
Vasconcellos,Augusto de,3,429,17,715,18,738,0.423,874,121.7,459,0.038,1297,
Vauthier,Louis C.,3,430,27,483,28,496,0.464,337,703.5,249,0.09,290,
Vetch,G. A.,3,431,35,363,40,379,0.473,233,206.7,409,0.097,255,
Waite,Marie L.,3,432,23,542,28,498,0.435,692,129.9,454,0.058,480,
Walre de Bordes,Jan,3,433,35,364,39,389,0.472,251,502.8,287,0.086,303,
Wang King Ky,,3,434,10,980,14,857,0.394,1980,43.5,536,0.017,1724,
Weck,Guillaume de,3,435,5,1892,8,1150,0.417,1012,21.8,588,0.019,1631,
Woodruff,Clinton Rogers,3,436,45,243,46,289,0.45,533,468.3,303,0.077,337,
Abbott,C. G.,2,437,11,887,13,858,0.428,797,34.4,566,0.033,1343,
Abrahm,Henri,2,438,5,1329,6,1244,0.4,1777,0.1,693,0.014,1784,
Ador,Gustave,2,439,6,1223,9,1012,0.398,1916,0,705,0.016,1728,
Aghnides,,2,440,7,1121,7,1158,0.454,486,76.3,496,0.028,1426,
Alexief,W.,2,441,33,368,35,404,0.444,599,7.6,633,0.1,236,
Alvarado,R. Alvarez,2,442,1,2383,2,2193,0.369,2327,0,724,0.005,2398,
Angelescu,,2,443,8,1040,9,1014,0.463,338,2.1,662,0.057,481,
Apponyi,Albert,2,444,28,431,29,463,0.434,695,0,748,0.044,639,
Apstein,,2,445,30,404,38,390,0.45,517,262.2,382,0.054,518,
Arnold,D.,2,446,3,2022,3,2033,0.402,1719,11.6,617,0.012,1880,
Asch van Wick,Van,2,447,17,693,18,719,0.467,293,201.5,412,0.07,376,
Baldini,B.,2,448,3,2025,4,1935,0.39,2076,0,786,0.011,1914,
Barany,R.,2,449,4,1919,4,1936,0.401,1750,0.4,687,0.014,1787,
Barboza Carneiro,J.A.,2,450,20,617,20,669,0.469,272,34.8,565,0.054,519,
Bartlett,A.C.,2,451,13,823,13,859,0.469,273,112.2,467,0.046,598,
Beelaerts van Blockland,Jonkheer,2,452,26,489,27,504,0.484,126,301.2,359,0.084,310,
Bello-Codesido,Emilio,2,453,4,1922,4,1939,0.419,939,6.9,636,0.017,1683,
Benedict,Elsie Graves,2,454,22,548,23,586,0.427,809,67.9,504,0.042,701,
Bernard,Leon,2,455,27,455,27,505,0.43,761,8844.7,56,0.051,549,
Binz,,2,456,43,251,45,291,0.434,698,334.1,345,0.052,540,
Bjerknes,V.,2,457,2,2189,3,2043,0.375,2191,0,869,0.006,2305,
Boal,P. M.,2,458,15,760,16,761,0.435,688,0,877,0.043,669,
Boggs,Randolph M.,2,459,45,232,45,292,0.47,263,641.4,261,0.085,304,
Boldrini,Marcello,2,460,19,639,20,670,0.463,342,0,890,0.049,569,
Bompas,Katherine,2,461,14,798,16,762,0.395,1952,62.3,511,0.017,1687,
Bordenave,Enrique,2,462,2,2192,3,2047,0.428,798,0,898,0.015,1753,
Bouimistrow,T. W.,2,463,3,2037,3,2049,0.425,851,0,909,0.02,1579,
Bowen,A.,2,464,40,296,41,325,0.421,885,0,915,0.042,702,
Bretherton,Gladys E.,2,465,9,989,10,976,0.386,2101,14.4,607,0.013,1842,
Briod,U.,2,466,4,1925,4,1942,0.352,2668,0,936,0.004,2525,
Bruccoleri,Avv. G.,2,467,9,990,9,1020,0.395,1953,40,550,0.017,1690,
Bucsan,,2,468,20,619,22,598,0.458,407,11.9,614,0.048,582,
Bullard,Arthur,2,469,5,1397,5,1414,0.404,1697,318.5,352,0.013,1847,
Buxton,,2,470,3,2042,5,1415,0.393,1982,0,984,0.013,1848,
Campa,M.,2,471,2,2198,3,2055,0.392,2014,0,998,0.011,1922,
Campbell,Ronald H.,2,472,5,1401,6,1259,0.393,1983,0,1000,0.014,1789,
Carapanos,A.,2,473,84,85,89,119,0.46,383,173.7,428,0.17,93,
Chavannes,H. E.,2,474,7,1134,8,1078,0.421,887,43.1,537,0.02,1583,
Chavannes,Emile F.,2,475,8,1045,10,980,0.393,1984,0,1062,0.014,1792,
Chetelain,Ch. W.,2,476,7,1135,7,1168,0.43,763,240,401,0.022,1547,
Childe,A.,2,477,8,1046,8,1079,0.402,1723,0.5,685,0.022,1548,
Chodzko,,2,478,21,577,21,629,0.336,2740,0,1067,0.007,2248,
Ciarlantini,Franco,2,479,56,183,61,212,0.444,601,306.3,357,0.099,242,
Claparede,Edouard,2,480,42,256,42,316,0.456,465,310.9,356,0.076,338,
Clarkson Miller,Helen,2,481,10,951,11,927,0.386,2102,14.7,606,0.013,1851,
Clementel,Etienne,2,482,3,2049,3,2060,0.381,2137,0,1078,0.009,2087,
Coleman,Laurence Vail,2,483,15,764,20,673,0.46,384,0.5,686,0.073,362,
Colin,A.,2,484,4,1935,5,1440,0.394,1969,0,1088,0.012,1884,
Collin,A.,2,485,7,1136,9,1024,0.374,2223,5.3,642,0.01,1985,
Combe,Etienne,2,486,29,419,29,466,0.416,1016,266.8,377,0.037,1298,
Cotton,,2,487,19,644,20,674,0.446,581,57,519,0.054,520,
Cottrell,F. G.,2,488,6,1242,6,1263,0.425,852,354.1,336,0.02,1585,
Coubertin,Pierre de,2,489,3,2051,3,2062,0.456,466,0,1108,0.024,1499,
Crompton,R. E.,2,490,6,1245,7,1170,0.373,2258,0,1126,0.01,1988,
Dantas,Julio,2,491,7,1138,8,1081,0.403,1707,8.4,621,0.02,1588,
Davies,Gwilym,2,492,12,863,15,802,0.427,811,4.4,645,0.028,1431,
Denicolai,L.,2,493,8,1048,9,1028,0.363,2361,6.5,637,0.01,1994,
Dent,Edward J.,2,494,13,827,15,803,0.448,544,583.8,268,0.057,483,
Deonna,,2,495,43,252,52,246,0.482,144,290.1,365,0.103,227,
Dianu,N.,2,496,4,1938,5,1471,0.453,495,0,1181,0.023,1522,
Diez de Medina,E.,2,497,3,2060,3,2072,0.332,2765,0,1185,0.003,2728,
Dinkelmann,Hans,2,498,4,1939,4,1954,0.381,2138,0.3,688,0.01,1996,
Dop,Louis,2,499,3,2061,3,2073,0.37,2297,0.1,694,0.007,2250,
Dragoni,C.,2,500,6,1247,6,1266,0.402,1726,1,679,0.019,1615,
Egidius,Th. F.,2,501,23,532,26,542,0.473,222,350.2,338,0.051,552,
Ehrensverd,,2,502,108,59,111,91,0.479,164,1255.2,193,0.201,59,
Elliott,Thomas,2,503,3,2064,5,1492,0.37,2298,0,1244,0.006,2320,
Esmarch,Aug.,2,504,4,1941,4,1956,0.375,2195,2.4,658,0.009,2099,
Fano,Giolio,2,505,24,523,26,544,0.449,534,239.9,402,0.043,673,
Fedele,Pietro,2,506,16,730,22,603,0.482,145,24.5,580,0.05,563,
Field,John W.,2,507,5,1491,5,1510,0.378,2150,2862,117,0.01,1998,
Fischer,Ed.,2,508,9,997,9,1031,0.43,765,251.2,389,0.03,1404,
Fleming,W. A.,2,509,8,1054,9,1032,0.442,616,0,1309,0.032,1362,
Folkersma,A.F.,2,510,3,2072,3,2082,0.376,2180,0,1317,0.008,2216,
Folkierski,W.,2,511,78,98,83,131,0.469,275,13847.5,39,0.103,228,
Fortoul,Gil,2,512,82,88,83,132,0.461,372,537.4,277,0.16,103,
Frank,Paul,2,513,11,901,11,928,0.449,535,658.4,256,0.055,507,
Friis,Finn,2,514,13,829,14,837,0.376,2181,583.2,269,0.011,1932,
Furse,Katherine,2,515,46,229,47,278,0.475,205,817,234,0.087,300,
Gallardo,Angel,2,516,30,409,31,440,0.48,158,26,577,0.098,247,
Gama,Domicio Da,2,517,17,700,18,725,0.419,950,0,1369,0.045,617,
Ganz,Paul,2,518,34,367,37,397,0.464,324,618,262,0.087,301,
Ganzhof,François,2,519,8,1057,9,1033,0.406,1669,0,1371,0.029,1417,
Ganzoni,,2,520,14,806,15,805,0.424,861,1.9,668,0.025,1482,
Garay,Narciso,2,521,2,2238,2,2250,0.37,2302,0,1372,0.007,2258,
Gaselee,Stephen,2,522,48,222,50,256,0.439,665,521.7,283,0.06,460,
Gibson,Harold,2,523,20,623,22,605,0.428,803,481.8,296,0.028,1435,
Gicot,G.,2,524,5,1520,6,1272,0.407,1655,3.9,649,0.015,1757,
Gideonse,Harry D.,2,525,7,1153,8,1090,0.421,896,43.1,538,0.02,1590,
Giele,Jacques,2,526,4,1947,4,1962,0.418,984,0,1404,0.015,1758,
Gomez-Carillo,Don Enrique,2,527,76,106,79,142,0.479,166,642.1,260,0.182,74,
Graf,,2,528,3,2079,3,2089,0.321,2823,2862,118,0.001,2817,
Grandi,,2,529,17,701,21,634,0.463,349,25,579,0.044,647,
Graul,Richard,2,530,20,625,21,636,0.456,468,0,1447,0.041,929,
Grenness,Otto,2,531,5,1532,5,1549,0.419,952,135.3,453,0.016,1735,
Guerin-Desjardins,J.,2,532,3,2080,4,1964,0.354,2462,0,1468,0.005,2428,
Guerrera,J. Gustavo,2,533,2,2248,4,1965,0.37,2304,0,1469,0.006,2337,
Gurney,Hugh,2,534,5,1542,5,1559,0.374,2231,1.9,669,0.009,2109,
Hamilton-Gordon,Ishbel,2,535,22,553,25,569,0.489,96,994.1,222,0.078,331,
Harada,Minoru,2,536,9,1002,9,1037,0.335,2758,121.4,461,0.003,2734,
Harcourt Smith,Cecil,2,537,20,626,23,589,0.456,469,0,1508,0.041,944,
Harford,Charles,2,538,2,2254,3,2095,0.296,2839,0,1511,0.001,2818,
Harris,Robert E.,2,539,12,868,12,900,0.395,1955,244,397,0.015,1762,
Harris,Nugent,2,540,2,2255,3,2096,0.375,2200,0,1512,0.006,2340,
Helmberger,,2,541,18,676,20,677,0.477,183,158.5,441,0.049,575,
Henriot,Gabriel,2,542,25,509,32,424,0.449,536,143.8,445,0.055,509,
Hercod,Robert,2,543,3,2087,3,2098,0.382,2128,0,1544,0.01,2005,
Herrera,A. L.,2,544,10,955,11,932,0.433,731,11.9,615,0.035,1327,
Herriot,Edouard,2,545,14,808,16,776,0.462,363,439.3,306,0.06,461,
Hiam,,2,546,8,1060,9,1038,0.376,2183,2.4,659,0.013,1856,
Hocking,,2,547,16,733,16,777,0.461,373,233.5,404,0.064,422,
Hoo-Tsi,,2,548,7,1160,9,1039,0.42,929,51.7,525,0.022,1552,
Howard,Jean,2,549,15,776,16,779,0.424,862,240.9,399,0.025,1483,
Howe,Charles,2,550,8,1063,9,1040,0.426,827,0,1601,0.022,1554,
Hutchinson,B.,2,551,30,411,38,392,0.45,523,262.2,383,0.054,523,
Ionesco-Mihaiesti,C.,2,552,16,735,17,743,0.447,561,0,1625,0.042,716,
Jacobsen,,2,553,15,779,15,814,0.426,830,0,1635,0.033,1349,
Janson,Emile,2,554,4,1958,4,1975,0.38,2142,68,503,0.01,2015,
Jespersen,Otto,2,555,9,1005,10,987,0.408,1649,0,1656,0.03,1406,
Johnson,T. F.,2,556,17,705,18,727,0.434,714,70.3,501,0.036,1314,
Johnston,E. ,2,557,16,736,17,744,0.428,805,715.6,246,0.057,488,
Johnston,G. A.,2,558,15,780,17,745,0.475,207,531.8,280,0.051,554,
Jones,Dorothy W. ,2,559,9,1006,9,1043,0.469,278,360.2,331,0.061,452,
Jonson,Emile,2,560,7,1165,7,1197,0.35,2693,80.8,493,0.006,2346,
Kaidanovsky,S.,2,561,8,1066,10,988,0.393,1990,0,1682,0.014,1801,
Kallab,Jaroslav,2,562,27,468,29,469,0.429,780,0,1687,0.031,1384,
Kandel,,2,563,13,834,14,841,0.466,305,1124.9,206,0.061,453,
Karnebeeck,Jonkheer Van,2,564,5,1600,6,1291,0.393,1991,8.2,624,0.013,1861,
Keeling,Guy W.,2,565,14,812,18,728,0.448,548,23.4,584,0.056,502,
Keyserling,Hermann de,2,566,14,814,15,815,0.364,2359,30.2,571,0.008,2225,
Kippenberg,Anton,2,567,47,225,47,280,0.467,296,1105.3,209,0.09,288,
Klebensberg,,2,568,7,1169,10,989,0.447,562,0,1727,0.052,544,
Knudsen,Martin,2,569,18,678,18,729,0.468,287,0,1739,0.069,401,
Kooiman,H. N.,2,570,33,371,43,310,0.452,504,276.6,371,0.076,339,
Kose,D. J.,2,571,7,1170,8,1102,0.444,606,0,1756,0.035,1328,
Kostanecki,,2,572,21,591,26,549,0.469,279,37.3,552,0.055,511,
Kowalski,,2,573,31,390,40,357,0.478,178,42.8,539,0.097,252,
Krawczynski,Aleksander,2,574,56,185,61,214,0.444,607,306.3,358,0.099,244,
Kundsinsch,,2,575,33,372,33,419,0.382,2129,477.7,297,0.031,1387,
Lacroix,A.,2,576,5,1632,5,1648,0.398,1918,0,1786,0.016,1737,
Lambotte,P.,2,577,18,681,19,699,0.419,961,207.3,408,0.03,1407,
Langenhoven,Van,2,578,5,1636,5,1651,0.423,871,0,1795,0.02,1595,
Lapierre,G.,2,579,10,959,11,934,0.471,256,2.1,665,0.066,412,
Lauterpacht,Zwi,2,580,10,960,11,935,0.422,877,83,490,0.021,1569,
Legate,"Ray, H.",2,581,15,783,15,818,0.427,813,387.9,320,0.026,1468,
Lennep,van,2,582,9,1008,10,990,0.467,297,42.8,540,0.04,1283,
Leone,Ugo,2,583,2,2280,3,2119,0.375,2204,0,1833,0.006,2354,
Lindt,,2,584,21,593,24,577,0.46,385,58.4,517,0.052,545,
Llewellyn Smith,Hubert,2,585,25,510,30,461,0.45,524,32.2,567,0.057,490,
Loubet,E.,2,586,4,1970,5,1669,0.393,1995,0,1869,0.012,1892,
Lydenberg,H. M.,2,587,26,499,26,550,0.411,1619,147.1,444,0.038,1294,
Lyon-Caen,,2,588,9,1010,9,1046,0.442,619,54.5,522,0.05,565,
MacPhail,Angus,2,589,10,963,11,938,0.408,1650,23.5,583,0.019,1621,
Mactavish,J. M.,2,590,3,2112,4,1987,0.393,1996,56.3,521,0.011,1945,
Mahaim,Ernest,2,591,10,964,11,939,0.416,1019,3.3,650,0.031,1388,
Maillard,Elisa,2,592,23,535,26,551,0.459,396,53.8,523,0.051,555,
Mangin,,2,593,40,309,43,311,0.476,194,332.8,346,0.099,245,
Mano,B.,2,594,4,1973,5,1678,0.392,2042,73.2,498,0.014,1807,
Mantoux,Paul,2,595,9,1013,9,1049,0.446,587,2916.6,115,0.052,546,
Manzoni,Alessandro,2,596,36,352,39,386,0.464,330,61.5,512,0.088,298,
Martwalder,,2,597,21,597,24,580,0.46,388,58.4,518,0.052,547,
Maus,Isidore,2,598,7,1180,9,1050,0.374,2241,5.3,643,0.01,2032,
Mayr,Kaspar,2,599,2,2294,2,2301,0.418,991,0,1957,0.014,1809,
McCowen,Oliver H.,2,600,11,910,11,944,0.414,1042,0,1961,0.022,1556,
McGeachy,Mary Craig,2,601,15,785,16,782,0.464,331,121.5,460,0.044,658,
Menten,,2,602,23,537,25,572,0.44,661,156.3,442,0.07,391,
Mesnil,,2,603,30,414,38,393,0.45,525,262.2,384,0.054,525,
Milam,Carl H.,2,604,14,816,17,748,0.473,226,267.4,376,0.069,402,
Milatchitch,Douchan,2,605,25,512,34,411,0.45,526,95.2,480,0.076,340,
Miner Hadden,Maude,2,606,2,2303,2,2310,0.418,992,0,2009,0.014,1811,
Miselj,V.,2,607,11,913,14,846,0.414,1045,2.1,666,0.02,1598,
Mitilinieu,,2,608,20,631,22,611,0.458,411,11.9,616,0.048,585,
Monachon,,2,609,7,1186,10,993,0.403,1711,0.2,691,0.015,1773,
Montarroyos,E.,2,610,77,104,79,143,0.477,186,500.8,288,0.183,73,
Montenach,Georges de,2,611,7,1188,9,1052,0.41,1632,0.2,692,0.023,1532,
Montessus de Ballore,R. de,2,612,15,787,19,705,0.482,146,388.7,319,0.073,366,
Morris,Alice V.,2,613,4,1981,4,1995,0.393,1998,107,473,0.011,1951,
Mortara,G.,2,614,14,817,19,707,0.447,566,39.9,551,0.04,1285,
Mounier,H.,2,615,45,237,49,269,0.471,257,496.1,289,0.108,210,
Mowinckel,Johan Ludwig,2,616,2,2307,2,2314,0.371,2288,0,2057,0.007,2278,
Muszkowski,,2,617,82,91,90,116,0.462,367,114.4,466,0.181,76,
Nestaval,J.,2,618,5,1709,7,1217,0.4,1790,0,2093,0.012,1896,
Netchasek,S.,2,619,47,226,52,248,0.441,641,312.1,355,0.096,259,
Newlands,H. W.,2,620,18,686,19,709,0.396,1944,280.4,369,0.017,1712,
Oiderman,,2,621,2,2310,3,2137,0.392,2045,0,2137,0.011,1956,
Onderdonk,Francis S.,2,622,3,2125,3,2138,0.37,2319,5722,73,0.005,2461,
Ophem,F. Van,2,623,2,2312,2,2318,0.382,2132,0,2145,0.009,2153,
Pappas,Spyridon,2,624,18,687,21,656,0.416,1021,24.4,582,0.026,1471,
Pelt,A.,2,625,36,354,38,394,0.471,258,1277.2,189,0.111,208,
Pemmers,Tony,2,626,45,238,48,273,0.458,414,767.7,240,0.097,254,
Phaff,J. M.,2,627,9,1018,10,996,0.39,2084,1,680,0.016,1743,
Piip,A.,2,628,8,1085,8,1116,0.362,2372,0,2235,0.006,2369,
Porteous,Margaret,2,629,15,792,15,820,0.473,231,105.9,475,0.051,556,
Postgate,J. P.,2,630,22,563,26,557,0.465,318,115.2,465,0.055,515,
Pownall,T.,2,631,6,1306,9,1058,0.398,1921,0,2265,0.016,1744,
Privat,Edmond,2,632,2,2318,2,2324,0.392,2052,0,2274,0.011,1960,
Procope,Hjalmar,2,633,1,2719,2,2325,0.369,2340,0,2275,0.005,2465,
Puech,Marie-Louise,2,634,40,318,43,312,0.476,196,472.8,299,0.119,188,
Pullen,Carl W.,2,635,1,2720,1,2721,0.399,1882,0,2284,0.009,2160,
Pusta,Charles Robert,2,636,65,161,66,200,0.487,110,1854.7,154,0.135,153,
Puyvelde,Van,2,637,36,355,39,388,0.479,170,212.6,407,0.093,269,
Rollier,Ariste,2,638,2,2328,3,2149,0.376,2184,0,2389,0.006,2374,
Romein,,2,639,9,1023,11,958,0.39,2086,26.8,575,0.015,1777,
Rotten,Elisabeth,2,640,7,1202,8,1122,0.416,1023,2292.7,136,0.042,732,
Roussel,F.,2,641,1,2751,2,2336,0.369,2343,0,2407,0.005,2471,
Roussoba,Sophie,2,642,1,2752,1,2752,0.36,2430,0,2408,0.005,2472,
Rowell,P.F.,2,643,8,1090,10,1000,0.404,1705,4,648,0.025,1488,
Salvagnigni,,2,644,26,500,29,472,0.45,530,169.9,436,0.058,476,
Sato,Junzo,2,645,27,479,31,451,0.467,299,281,368,0.081,322,
Schadel,B.,2,646,2,2335,3,2156,0.376,2186,0,2461,0.006,2380,
Schairer,Reinhold,2,647,13,848,14,853,0.449,540,363.7,329,0.056,506,
Schneyder,Alfred H.K.,2,648,5,1819,5,1836,0.377,2169,175.8,427,0.007,2286,
Schober,Johann,2,649,2,2338,2,2343,0.354,2463,7.1,634,0.004,2682,
Schulthess,Paul,2,650,2,2339,2,2344,0.402,1741,0,2485,0.012,1901,
Schulze-Gaevernitz,,2,651,10,972,11,961,0.442,622,0.6,684,0.032,1366,
Schwarz,,2,652,45,239,46,288,0.422,880,107.9,471,0.044,664,
Scialoja,,2,653,9,1026,9,1062,0.375,2215,1,681,0.014,1827,
Scie-Ton-Fa,,2,654,47,228,47,281,0.444,611,329.6,348,0.078,334,
Scotti,A. M.,2,655,11,929,13,883,0.467,300,90,485,0.065,420,
ShepardsonW,Whitney,2,656,4,2005,4,2017,0.401,1771,5722,74,0.01,2046,
